title,author,blurb,isbn,call_number,cover_filename
Waking Gods,Sylvain Neuvel,"In the gripping sequel to Sleeping Giants, Sylvain Neuvel’s innovative series about human-alien contact takes another giant step forward. “Sleeping Giants may have debuted his thrilling saga, but Waking Gods proves that Neuvel’s scope is more daring than readers could have imagined.”—Paste As a child, Rose Franklin made an astonishing discovery: a giant metallic hand, buried deep within the earth. As an adult, she’s dedicated her brilliant scientific career to solving the mystery that began that fateful day: Why was a titanic robot of unknown origin buried in pieces around the world? Years ...",9781101886731,,Waking Gods_391.jpg
The Great Age of the English Essay,Denise Gigante,"From the pens of spectators, ramblers, idlers, tattlers, hypochondriacs, connoisseurs, and loungers, a new literary genre emerged in 18th century England: the periodical essay. This authoritative anthology gathers the consummate periodical essays of the period.",9780300117226,,The Great Age of the English Essay_392.jpg
The Comedy of Errors,William Shakespeare,"The New Cambridge Shakespeare appeals to students worldwide for its up-to-date scholarship and emphasis on performance. The series features line-by-line commentaries and textual notes on the plays and poems. Introductions are regularly refreshed with accounts of new critical, stage and screen interpretations. For this second edition of The Comedy of Errors, Ros King has revised T. S. Dorsch's renowned text and commentary and written a completely new introduction to the work. She argues that the play cannot be regarded merely as a farcical romp based on a classical model but that it belongs ...",9780521535168,,The Comedy of Errors_393.jpg
Sir Charles Grandison,Sylvia Kasey Marks,"The first book-length monograph to examine Samuel Richardson's last and least-known work. Marks considers this novel a natural outgrowth and culmination of the conduct-book form -- indeed, the finest example of the genre.",0838750907,,Sir Charles Grandison_394.jpg
Ian Hamilton Finlay,Ian Hamilton Finlay,"This volume surveys the life and work of the Scottish poet Ian Hamilton Finlay, who is best known for his extraordinary garden, Little Sparta, a unique ""poem of place"" in which poetry, sculpture, and horticulture intersect. This book directs sustained attention to Finlay the verbal artist, revealing the full breadth and richness of his poetics. It illuminates the evolution from his early years of composing plays, stories, and lyrical poems to his discovery of Concrete poetry and his emergence as a key figure in the international avant-garde of the 1960s.",9780520424531,,Ian Hamilton Finlay_396.jpg
John Clare,Jonathan Bate,"The long-awaited literary biography of the supreme ""poets' poet"" John Clare (1793-1864) is the greatest labouring-class poet that England has ever produced. No one has ever written more powerfully of nature, of a rural childhood, and of the alienated and unstable self, but until now he has never been the subject of a comprehensive literary biography. Here at last is his full story told by the light of his voluminous work: his birth in poverty, his work as an agricultural labourer, his burgeoning promise as a writer--cultivated under the gaze of rival patrons--then his moment of fame in the ...",9781466895454,,John Clare_397.jpg
The Mystery of Lewis Carroll,Jenny Woolf,"A biography of the enigmatic and beloved author of Alice in Wonderland . Foreword by Edward Wakeling, former chairman of the Lewis Carroll Society Lewis Carroll was brilliant, secretive and self contradictory. He reveled in double meanings and puzzles, in his fiction and his life. Journalist Jenny Woolf's The Mystery of Lewis Carroll shines a new light on the creator of Alice in Wonderland and brings to life this fascinating, but sometimes exasperating human being whom some have tried to hide. Using rarely-seen and recently discovered sources, such as Carroll's accounts ledger and unpublish...",9781429968393,,The Mystery of Lewis Carroll_398.jpg
The Adventure of Black Peter,"Arthur Conan Doyle, Sir","""The Return of Sherlock Holmes"" is the third series of stories featuring the world's most famous detective, Sherlock Holmes. This particular book is the sixth story of the third series. Enjoy Sir Arthur Conan Doyle's imagination as you read ""The Adventure of Black Peter"".*Matte cover with wrap-around cover art*",153068255X,,The Adventure of Black Peter_399.jpg
Far from the Madding Crowd,Thomas Hardy,No description available.,,,Far from the Madding Crowd_400.jpg
A sonnet to science,Sam Illingworth,"A sonnet to science presents an account of six ground-breaking scientists who also wrote poetry, and the effect that this had on their lives and research. How was the universal computer inspired by Lord Byron? Why was the link between malaria and mosquitos first captured in the form of a poem? Who did Humphry Davy consider to be an ‘illiterate pirate’? Written by leading science communicator and scientific poet Dr Sam Illingworth, A sonnet to science presents an aspirational account of how these two disciplines can work together, and in so doing aims to inspire both current and future gener...",9781526127990,,A sonnet to science_401.jpg
Not Bloody Likely!,"Bernard Shaw, Bernard F. Dukore","How will patterns of human interaction with the earth's eco-system impact on biodiversity loss over the long term--not in the next ten or even fifty years, but on the vast temporal scale be dealt with by earth scientists? This volume brings together data from population biology, community ecology, comparative biology, and paleontology to answer this question.",0231104782,,Not Bloody Likely_402.jpg
Being Shelley,Ann Wroe,"In an intimate portrait of one of the world's foremost poets, the author of Pontius Pilate traces the inner journey of an artist struggling to create and escape, addressing Shelley's personal quest to understand himself, his purpose, and his spiritual and aesthetic vision. Reprint.",9780307280527,,Being Shelley_403.jpg
Thousand Years of Love Poetry,Fiona Pagett,Thousand Years of Love Poetry is a celebration of the delights and torments of love.,1904449050,,Thousand Years of Love Poetry_404.jpg
Death on the Nile,Agatha Christie,A murder on a cruise ship on the Nile baffles everyone except ace detective Hercule Poirot.,0425200469,,Death on the Nile_405.jpg
Mrs. McGinty's Dead,Agatha Christie,Approached by retired police Superintendent Spence--who's convinced the wrong man has been convicted of the crime--Hercule Poirot begins an investigation into the brutal murder of an old woman.,0061003751,,Mrs McGintys Dead_406.jpg
Heart of Darkness Joseph Conrad,Joseph Conrad,HEART OF DARKNESS Large Print JOSEPH CONRAD 1857-1924,1973946467,,Heart of Darkness Joseph Conrad_407.jpg
A.J. Cronin,Andrew Kilpatrick Thomson,Typscript article with corrections about novelist Archibald Joseph Cronin.,,,
Memoirs of a Spacewoman,Naomi Mitchison,No description available.,,,Memoirs of a Spacewoman_409.jpg
The Man in the Queue (Killer in the Crowd),Josephine Tey,"Josephine Tey was a pseudonym used by Elizabeth MacKintosh (25 July 1896 - 13 February 1952), a Scottish author best known for her mystery novels. She also wrote as Gordon Daviot, under which name she wrote plays, many with biblical or historical themes.",1980304955,,
A Shilling for Candles,Josephine Tey,No description available.,,,
Orlando,Virginia Woolf,"An annotated edition of “Woolf’s most intense work,” a fantastical biography that spans from the court of Elizabeth I to the year 1928 (Jorge Luis Borges). Begun as a “joke,” Orlando is Virginia Woolf’s fantastical biography of a poet who first appears as a sixteen-year-old boy at the court of Elizabeth I, and is left at the novel’s end a married woman in the year 1928. From Orlando’s early days as a page in the Elizabethan court, through first love, heartbreak, and gender transformation, we follow Woolf’s protagonist across centuries, through adventures in Constantinople and friendship wit...",9780547543161,,Orlando_412.jpg
Goldfinger,Ian Fleming,"In ""Goldfinger,"" Ian Fleming delivers a thrilling narrative that masterfully intertwines espionage, luxury, and the high-stakes world of the criminal underbelly. The novel follows the iconic British secret agent James Bond as he confronts the enigmatic villain Auric Goldfinger, a gold smuggler with nefarious plans. Fleming's crisp prose and vivid descriptions immerse readers in a globe-trotting adventure that is both glamorous and perilous, reflecting the zeitgeist of the 1950s Cold War era, where trust is scarce and betrayal looms large. The author's keen attention to detail enriches the s...",,,Goldfinger_413.jpg
Doing Wrong,H. R. F. Keating,"Kriminalroman fra Indien, hvor Inspector Ghote skal opklare et brutalt mord",0330340042,,Doing Wrong_414.jpg
Forbidden Places,Mary Napier,No description available.,,,
Good Neighbors,"Abdullah, Kia, 1982- author.",No description available.,,,
Fireheart Tiger,Aliette de Bodard,"Award-winning author Aliette de Bodard returns with Fireheart Tiger, a powerful romantic fantasy that reads like The Goblin Emperor meets Howl's Moving Castle in a pre-colonial Vietnamese-esque world. A British Science Fiction Award winner! A finalist for the Hugo, Nebula, Locus, and Ignyte Awards! A Most Anticipated Pick for Buzzfeed | Mary Sue | Nerd Daily | FanFi Addict Fire burns bright and has a long memory.... Quiet, thoughtful princess Thanh was sent away as a hostage to the powerful faraway country of Ephteria as a child. Now she’s returned to her mother's imperial court, haunted no...",9781250793270,,Fireheart Tiger_419.jpg
The Secret Chapter,Genevieve Cogman,"Time-travelling, dimension-jumping, Librarian-spy Irene and dragon-prince Kai will have to team up with an unlikely band of misfits to pull off an amazing art heist—or risk the wrath of a dangerous villain with a secret island lair. A Librarian’s work is never done, and Irene is summoned to the Library. The world where she grew up is in danger of veering deep into chaos, and she needs to obtain a particular book to stop this from happening. Her only choice is to contact a mysterious Fae information-broker and trader of rare objects: Mr. Nemo. Irene and Kai make their way to Mr. Nemo’s remot...",9781984804778,,The Secret Chapter_420.jpg
